pipeline_event_id,candidate_id,req_id,source_channel,stage_reached,stage_entry_timestamp,recruiter_id
1379e0d9,CAND_100013,REQ_2033,LinkedIn,Phone Screen,2025-03-17 00:00:00,REC_100
85195761,CAND_100013,REQ_2033,LinkedIn,Technical Interview,2025-03-29 00:00:00,REC_100
ebe4dcbd,CAND_100013,REQ_2033,LinkedIn,Offer Issued,2025-04-08 00:00:00,REC_100
37539d63,CAND_100014,REQ_2015,LinkedIn,Applied,2025-01-20 00:00:00,REC_104
101b1e44,CAND_100015,REQ_2023,LinkedIn,Applied,2025-07-03 00:00:00,REC_104
0498fd9e,CAND_100016,REQ_2025,LinkedIn,Applied,2025-05-26 00:00:00,REC_104
e1876d53,CAND_100017,REQ_2032,Tesla Careers Site,Applied,2025-04-22 00:00:00,REC_101
5e4069ff,CAND_100017,REQ_2032,Tesla Careers Site,Phone Screen,2025-05-05 00:00:00,REC_101
5888cbc4,CAND_100018,REQ_2010,X (Twitter) Sourcing,Applied,2025-03-28 00:00:00,REC_104
435df2d4,CAND_100018,REQ_2010,X (Twitter) Sourcing,Phone Screen,2025-04-05 00:00:00,REC_104
5534645d,CAND_100019,REQ_2006,Tesla Careers Site,Applied,2025-04-22 00:00:00,REC_103
16b2d2b4,CAND_100019,REQ_2006,Tesla Careers Site,Phone Screen,2025-04-24 00:00:00,REC_103
dc9c038b,CAND_100020,REQ_2017,LinkedIn,Applied,2025-02-17 00:00:00,REC_101
6c9bb4f8,CAND_100020,REQ_2017,LinkedIn,Phone Screen,2025-02-27 00:00:00,REC_101
8b2a2da7,CAND_100021,REQ_2021,Employee Referral,Applied,2025-06-26 00:00:00,REC_101
a730f7b2,CAND_100022,REQ_2022,LinkedIn,Applied,2025-05-28 00:00:00,REC_102
9b6ea6b0,CAND_100023,REQ_2012,University Recruiting,Applied,2025-07-10 00:00:00,REC_100
5ba0557d,CAND_100024,REQ_2038,LinkedIn,Applied,2025-02-14 00:00:00,REC_101
f7baafa1,CAND_100025,REQ_2020,Employee Referral,Applied,2025-02-12 00:00:00,REC_100
8a0366f7,CAND_100025,REQ_2020,Employee Referral,Phone Screen,2025-02-22 00:00:00,REC_100
879b81fe,CAND_100026,REQ_2038,X (Twitter) Sourcing,Applied,2025-02-12 00:00:00,REC_104
a3f9c44f,CAND_100026,REQ_2038,X (Twitter) Sourcing,Phone Screen,2025-02-20 00:00:00,REC_104
b127666a,CAND_100027,REQ_2019,University Recruiting,Applied,2025-04-26 00:00:00,REC_104
7d4faa78,CAND_100027,REQ_2019,University Recruiting,Phone Screen,2025-05-08 00:00:00,REC_104
f2f33983,CAND_100028,REQ_2012,LinkedIn,Applied,2025-07-05 00:00:00,REC_104
57a3b9be,CAND_100029,REQ_2027,LinkedIn,Applied,2025-05-26 00:00:00,REC_104
3ba90852,CAND_100029,REQ_2027,LinkedIn,Phone Screen,2025-06-03 00:00:00,REC_104
278e8ede,CAND_100030,REQ_2018,Employee Referral,Applied,2025-06-07 00:00:00,REC_104
4a3246fa,CAND_100031,REQ_2027,LinkedIn,Applied,2025-06-05 00:00:00,REC_104
aff98c3c,CAND_100031,REQ_2027,LinkedIn,Phone Screen,2025-06-13 00:00:00,REC_104
82589cf1,CAND_100031,REQ_2027,LinkedIn,Technical Interview,2025-06-23 00:00:00,REC_104
f9fb531e,CAND_100032,REQ_2020,Tesla Careers Site,Applied,2025-02-08 00:00:00,REC_104
866f0477,CAND_100033,REQ_2036,LinkedIn,Applied,2025-03-13 00:00:00,REC_103
0642437d,CAND_100033,REQ_2036,LinkedIn,Phone Screen,2025-03-24 00:00:00,REC_103
48729920,CAND_100033,REQ_2036,LinkedIn,Technical Interview,2025-04-04 00:00:00,REC_103
b21fb815,CAND_100033,REQ_2036,LinkedIn,Offer Issued,2025-04-16 00:00:00,REC_103
49cdf42d,CAND_100033,REQ_2036,LinkedIn,Hired,2025-04-18 00:00:00,REC_103
bd61c481,CAND_100034,REQ_2046,LinkedIn,Applied,2025-05-07 00:00:00,REC_103
61b10468,CAND_100035,REQ_2048,LinkedIn,Applied,2025-01-24 00:00:00,REC_103
83c46b71,CAND_100036,REQ_2029,Tesla Careers Site,Applied,2025-06-11 00:00:00,REC_100
59942901,CAND_100036,REQ_2029,Tesla Careers Site,Phone Screen,2025-06-13 00:00:00,REC_100
6d334032,CAND_100036,REQ_2029,Tesla Careers Site,Technical Interview,2025-06-18 00:00:00,REC_100
a0212d58,CAND_100037,REQ_2040,LinkedIn,Applied,2025-01-29 00:00:00,REC_100
640f0a96,CAND_100037,REQ_2040,LinkedIn,Phone Screen,2025-02-07 00:00:00,REC_100
e265b0eb,CAND_100038,REQ_2000,Tesla Careers Site,Applied,2025-06-21 00:00:00,REC_102
245b0b66,CAND_100038,REQ_2000,Tesla Careers Site,Phone Screen,2025-06-24 00:00:00,REC_102
2c5a0c5f,CAND_100038,REQ_2000,Tesla Careers Site,Technical Interview,2025-07-05 00:00:00,REC_102
0b338ffb,CAND_100039,REQ_2010,LinkedIn,Applied,2025-03-26 00:00:00,REC_102
f36b4bd7,CAND_100040,REQ_2043,Tesla Careers Site,Applied,2025-06-11 00:00:00,REC_101
4ccec859,CAND_100040,REQ_2043,Tesla Careers Site,Phone Screen,2025-06-25 00:00:00,REC_101
ec6452bf,CAND_100040,REQ_2043,Tesla Careers Site,Technical Interview,2025-06-27 00:00:00,REC_101
ce113de1,CAND_100041,REQ_2024,LinkedIn,Applied,2025-05-07 00:00:00,REC_103
2ae72547,CAND_100042,REQ_2010,LinkedIn,Applied,2025-03-31 00:00:00,REC_102
ab4471a7,CAND_100043,REQ_2032,LinkedIn,Applied,2025-05-08 00:00:00,REC_104
e8c877ad,CAND_100044,REQ_2044,X (Twitter) Sourcing,Applied,2025-02-27 00:00:00,REC_102
6a2e1e0e,CAND_100044,REQ_2044,X (Twitter) Sourcing,Phone Screen,2025-03-01 00:00:00,REC_102
81f9b73f,CAND_100045,REQ_2026,Employee Referral,Applied,2025-07-01 00:00:00,REC_102
94783700,CAND_100046,REQ_2044,,Applied,2025-02-24 00:00:00,REC_104
1925215c,CAND_100047,REQ_2010,Tesla Careers Site,Applied,2025-03-30 00:00:00,REC_103
4b2c0859,CAND_100048,REQ_2012,LinkedIn,Applied,2025-07-04 00:00:00,REC_104
4a42ff69,CAND_100049,REQ_2006,LinkedIn,Applied,2025-04-12 00:00:00,REC_103
7784ae70,CAND_100049,REQ_2006,LinkedIn,Phone Screen,2025-04-22 00:00:00,REC_103
98a5e317,CAND_100049,REQ_2006,LinkedIn,Technical Interview,2025-05-06 00:00:00,REC_103
860a1cc5,CAND_100050,REQ_2025,Tesla Careers Site,Applied,2025-05-25 00:00:00,REC_101
cbb3362a,CAND_100050,REQ_2025,Tesla Careers Site,Phone Screen,2025-05-28 00:00:00,REC_101
a5f258e8,CAND_100050,REQ_2025,Tesla Careers Site,Technical Interview,2025-06-12 00:00:00,REC_101
d59bb5a6,CAND_100050,REQ_2025,Tesla Careers Site,Offer Issued,2025-06-17 00:00:00,REC_101
c4010592,CAND_100050,REQ_2025,Tesla Careers Site,Hired,2025-06-23 00:00:00,REC_101
2bc84845,CAND_100051,REQ_2021,LinkedIn,Applied,2025-06-15 00:00:00,REC_101
8d0a4fb7,CAND_100052,REQ_2046,LinkedIn,Applied,2025-05-08 00:00:00,REC_101
3124033e,CAND_100052,REQ_2046,LinkedIn,Phone Screen,2025-05-17 00:00:00,REC_101
918a964c,CAND_100052,REQ_2046,LinkedIn,Technical Interview,2025-05-26 00:00:00,REC_101
93bc5834,CAND_100052,REQ_2046,LinkedIn,Offer Issued,2025-06-02 00:00:00,REC_101
5b1aefdc,CAND_100053,REQ_2000,LinkedIn,Applied,2025-06-18 00:00:00,REC_100
d1ee7942,CAND_100053,REQ_2000,LinkedIn,Phone Screen,2025-06-29 00:00:00,REC_100
02a2c529,CAND_100053,REQ_2000,LinkedIn,Technical Interview,2025-07-11 00:00:00,REC_100
71a80752,CAND_100054,REQ_2008,Tesla Careers Site,Applied,2025-04-22 00:00:00,REC_101
6c2dbb9c,CAND_100055,REQ_2027,Tesla Careers Site,Applied,2025-05-31 00:00:00,REC_104
6e744898,CAND_100056,REQ_2010,University Recruiting,Applied,2025-04-09 00:00:00,REC_103
17895a4a,CAND_100056,REQ_2010,University Recruiting,Phone Screen,2025-04-14 00:00:00,REC_103
1b3e771a,CAND_100056,REQ_2010,University Recruiting,Technical Interview,2025-04-26 00:00:00,REC_103
fadba944,CAND_100056,REQ_2010,University Recruiting,Offer Issued,2025-05-01 00:00:00,REC_103
b65df567,CAND_100056,REQ_2010,University Recruiting,Hired,2025-05-07 00:00:00,REC_103
742add81,CAND_100057,REQ_2033,Tesla Careers Site,Applied,2025-03-13 00:00:00,REC_101
19382e4f,CAND_100058,REQ_2026,Employee Referral,Applied,2025-06-27 00:00:00,REC_100
2b798b8b,CAND_100059,REQ_2043,Tesla Careers Site,Applied,2025-06-01 00:00:00,REC_104
0005ee78,CAND_100060,REQ_2005,X (Twitter) Sourcing,Applied,2025-07-09 00:00:00,REC_101
83d63a66,CAND_100060,REQ_2005,X (Twitter) Sourcing,Phone Screen,2025-07-18 00:00:00,REC_101
af16def7,CAND_100061,REQ_2026,LinkedIn,Applied,2025-07-03 00:00:00,REC_102
7f8f67e7,CAND_100061,REQ_2026,LinkedIn,Phone Screen,2025-07-05 00:00:00,REC_102
1c1d23e6,CAND_100062,REQ_2035,University Recruiting,Applied,2025-03-15 00:00:00,REC_102
4a35f640,CAND_100062,REQ_2035,University Recruiting,Phone Screen,2025-03-26 00:00:00,REC_102
bcc1554d,CAND_100062,REQ_2035,University Recruiting,Technical Interview,2025-03-28 00:00:00,REC_102
a99c039a,CAND_100062,REQ_2035,University Recruiting,Offer Issued,2025-04-11 00:00:00,REC_102
575bff99,CAND_100062,REQ_2035,University Recruiting,Hired,2025-04-23 00:00:00,REC_102
d7a93873,CAND_100063,REQ_2047,University Recruiting,Applied,2025-03-31 00:00:00,REC_104
cc50ba41,CAND_100063,REQ_2047,University Recruiting,Phone Screen,2025-04-04 00:00:00,REC_104
b0ca6587,CAND_100064,REQ_2027,X (Twitter) Sourcing,Applied,2025-05-25 00:00:00,REC_103
abfbf21b,CAND_100064,REQ_2027,X (Twitter) Sourcing,Phone Screen,2025-06-06 00:00:00,REC_103
a755ea90,CAND_100065,REQ_2009,LinkedIn,Applied,2025-04-22 00:00:00,REC_101
78e6159c,CAND_100065,REQ_2009,LinkedIn,Phone Screen,2025-05-02 00:00:00,REC_101
e2bc2ed7,CAND_100066,REQ_2041,LinkedIn,Applied,2025-02-28 00:00:00,REC_100
6894ccc8,CAND_100066,REQ_2041,LinkedIn,Phone Screen,2025-03-12 00:00:00,REC_100
07ed198e,CAND_100066,REQ_2041,LinkedIn,Technical Interview,2025-03-27 00:00:00,REC_100
f0e031a5,CAND_100066,REQ_2041,LinkedIn,Offer Issued,2025-04-06 00:00:00,REC_100
9ade54e0,CAND_100067,REQ_2001,Employee Referral,Applied,2025-02-18 00:00:00,REC_100
038019bf,CAND_100067,REQ_2001,Employee Referral,Phone Screen,2025-02-24 00:00:00,REC_100
9e7ebe8d,CAND_100068,REQ_2039,Employee Referral,Applied,2025-05-02 00:00:00,REC_102
8553935c,CAND_100069,REQ_2012,LinkedIn,Applied,2025-06-26 00:00:00,REC_101
c7c724b8,CAND_100070,REQ_2043,Employee Referral,Applied,2025-06-10 00:00:00,REC_100
5378f4b9,CAND_100070,REQ_2043,Employee Referral,Phone Screen,2025-06-19 00:00:00,REC_100
7ee61d06,CAND_100071,REQ_2011,X (Twitter) Sourcing,Applied,2025-05-05 00:00:00,REC_101
2db8ce48,CAND_100071,REQ_2011,X (Twitter) Sourcing,Phone Screen,2025-05-20 00:00:00,REC_101
c6fef91e,CAND_100071,REQ_2011,X (Twitter) Sourcing,Technical Interview,2025-05-23 00:00:00,REC_101
c83b5736,CAND_100071,REQ_2011,X (Twitter) Sourcing,Offer Issued,2025-05-29 00:00:00,REC_101
c8ecb626,CAND_100072,REQ_2021,Tesla Careers Site,Applied,2025-06-13 00:00:00,REC_103
167e5de9,CAND_100072,REQ_2021,Tesla Careers Site,Phone Screen,2025-06-28 00:00:00,REC_103
171f4067,CAND_100072,REQ_2021,Tesla Careers Site,Technical Interview,2025-07-09 00:00:00,REC_103
0279b6a5,CAND_100073,REQ_2013,Tesla Careers Site,Applied,2025-06-04 00:00:00,REC_103
c2fc946a,CAND_100074,REQ_2017,LinkedIn,Applied,2025-02-24 00:00:00,REC_102
5ae59a9b,CAND_100074,REQ_2017,LinkedIn,Phone Screen,2025-03-04 00:00:00,REC_102
2119dc19,CAND_100075,REQ_2004,LinkedIn,Applied,2025-05-07 00:00:00,REC_103
cc137b30,CAND_100075,REQ_2004,LinkedIn,Phone Screen,2025-05-11 00:00:00,REC_103
7503c2bd,CAND_100075,REQ_2004,LinkedIn,Technical Interview,2025-05-20 00:00:00,REC_103
52a4f7ca,CAND_100075,REQ_2004,LinkedIn,Offer Issued,2025-05-22 00:00:00,REC_103
6c3fad38,CAND_100075,REQ_2004,LinkedIn,Hired,2025-05-26 00:00:00,REC_103
49d9afea,CAND_100076,REQ_2030,Employee Referral,Applied,2025-02-12 00:00:00,REC_104
7122e354,CAND_100077,REQ_2014,Tesla Careers Site,Applied,2025-06-22 00:00:00,REC_103
1f37b8ed,CAND_100077,REQ_2014,Tesla Careers Site,Phone Screen,2025-07-03 00:00:00,REC_103
9bf8fceb,CAND_100078,REQ_2017,Tesla Careers Site,Applied,2025-02-28 00:00:00,REC_100
200d5fc0,CAND_100079,REQ_2020,University Recruiting,Applied,2025-02-06 00:00:00,REC_103
dac6e45e,CAND_100080,REQ_2008,X (Twitter) Sourcing,Applied,2025-04-11 00:00:00,REC_100
3aba74d9,CAND_100081,REQ_2008,LinkedIn,Applied,2025-04-22 00:00:00,REC_100
21d3307a,CAND_100082,REQ_2038,Tesla Careers Site,Applied,2025-02-12 00:00:00,REC_101
96e2199f,CAND_100082,REQ_2038,Tesla Careers Site,Phone Screen,2025-02-16 00:00:00,REC_101
29f40dd9,CAND_100083,REQ_2037,LinkedIn,Applied,2025-02-15 00:00:00,REC_102
31ff6bb4,CAND_100083,REQ_2037,LinkedIn,Phone Screen,2025-02-18 00:00:00,REC_102
98a9f8df,CAND_100083,REQ_2037,LinkedIn,Technical Interview,2025-02-27 00:00:00,REC_102
cb296217,CAND_100083,REQ_2037,LinkedIn,Offer Issued,2025-03-06 00:00:00,REC_102
3fd6a0eb,CAND_100084,REQ_2013,X (Twitter) Sourcing,Applied,2025-05-30 00:00:00,REC_102
075e1d7b,CAND_100084,REQ_2013,X (Twitter) Sourcing,Phone Screen,2025-06-14 00:00:00,REC_102
95805678,CAND_100085,REQ_2017,Employee Referral,Applied,2025-02-26 00:00:00,REC_101
8d888b7f,CAND_100085,REQ_2017,Employee Referral,Phone Screen,2025-03-10 00:00:00,REC_101
12cd1d92,CAND_100085,REQ_2017,Employee Referral,Technical Interview,2025-03-18 00:00:00,REC_101
40a70a2d,CAND_100085,REQ_2017,Employee Referral,Offer Issued,2025-03-24 00:00:00,REC_101
e6723f60,CAND_100085,REQ_2017,Employee Referral,Hired,2025-03-26 00:00:00,REC_101
ee913552,CAND_100086,REQ_2035,Tesla Careers Site,Applied,2025-03-19 00:00:00,REC_100
94754c21,CAND_100086,REQ_2035,Tesla Careers Site,Phone Screen,2025-03-26 00:00:00,REC_100
8ce89635,CAND_100086,REQ_2035,Tesla Careers Site,Technical Interview,2025-03-31 00:00:00,REC_100
dc1e4b30,CAND_100087,REQ_2023,Tesla Careers Site,Applied,2025-07-09 00:00:00,REC_104
b1ce12bc,CAND_100087,REQ_2023,Tesla Careers Site,Phone Screen,2025-07-11 00:00:00,REC_104
301c879b,CAND_100088,REQ_2048,,Applied,2025-01-31 00:00:00,REC_103
75232434,CAND_100089,REQ_2045,Employee Referral,Applied,2025-02-06 00:00:00,REC_101
6f38ab0e,CAND_100089,REQ_2045,Employee Referral,Phone Screen,2025-02-10 00:00:00,REC_101
e3739953,CAND_100090,REQ_2038,LinkedIn,Applied,2025-02-03 00:00:00,REC_103
1a9335b1,CAND_100090,REQ_2038,LinkedIn,Phone Screen,2025-02-07 00:00:00,REC_103
26f07166,CAND_100090,REQ_2038,LinkedIn,Technical Interview,2025-02-21 00:00:00,REC_103
eb81fa71,CAND_100091,REQ_2048,X (Twitter) Sourcing,Applied,2025-01-27 00:00:00,REC_103
9debd7fb,CAND_100092,REQ_2047,Employee Referral,Applied,2025-03-29 00:00:00,REC_103
42656d76,CAND_100092,REQ_2047,Employee Referral,Phone Screen,2025-04-01 00:00:00,REC_103
e8708f3c,CAND_100093,REQ_2018,,Applied,2025-06-08 00:00:00,REC_103
c534bad4,CAND_100094,REQ_2029,LinkedIn,Applied,2025-06-04 00:00:00,REC_103
fe4b96f2,CAND_100095,REQ_2047,LinkedIn,Applied,2025-04-07 00:00:00,REC_103
f111399a,CAND_100096,REQ_2037,X (Twitter) Sourcing,Applied,2025-02-21 00:00:00,REC_104
6e3a056d,CAND_100096,REQ_2037,X (Twitter) Sourcing,Phone Screen,2025-03-02 00:00:00,REC_104
94171abd,CAND_100096,REQ_2037,X (Twitter) Sourcing,Technical Interview,2025-03-13 00:00:00,REC_104
85ff92f8,CAND_100096,REQ_2037,X (Twitter) Sourcing,Offer Issued,2025-03-21 00:00:00,REC_104
5b4643eb,CAND_100097,REQ_2008,,Applied,2025-04-22 00:00:00,REC_102
3a9b2852,CAND_100098,REQ_2016,LinkedIn,Applied,2025-06-04 00:00:00,REC_102
b28efec5,CAND_100099,REQ_2022,X (Twitter) Sourcing,Applied,2025-06-02 00:00:00,REC_103
ee4a0457,CAND_100099,REQ_2022,X (Twitter) Sourcing,Phone Screen,2025-06-07 00:00:00,REC_103
d2c4f501,CAND_100099,REQ_2022,X (Twitter) Sourcing,Technical Interview,2025-06-11 00:00:00,REC_103
250b79b5,CAND_100099,REQ_2022,X (Twitter) Sourcing,Offer Issued,2025-06-25 00:00:00,REC_103
58c595ca,CAND_100099,REQ_2022,X (Twitter) Sourcing,Hired,2025-07-06 00:00:00,REC_103
eb4b945a,CAND_100100,REQ_2012,LinkedIn,Applied,2025-07-06 00:00:00,REC_104
7a306609,CAND_100101,REQ_2005,LinkedIn,Applied,2025-07-05 00:00:00,REC_101
69db888c,CAND_100102,REQ_2015,LinkedIn,Applied,2025-01-13 00:00:00,REC_101
c2107713,CAND_100103,REQ_2031,Tesla Careers Site,Applied,2025-03-30 00:00:00,REC_103
ce508968,CAND_100104,REQ_2010,LinkedIn,Applied,2025-03-25 00:00:00,REC_104
db9a3521,CAND_100105,REQ_2048,Employee Referral,Applied,2025-01-21 00:00:00,REC_100
005fd5af,CAND_100105,REQ_2048,Employee Referral,Phone Screen,2025-01-24 00:00:00,REC_100
74b9e2b6,CAND_100105,REQ_2048,Employee Referral,Technical Interview,2025-01-28 00:00:00,REC_100
1c4c7243,CAND_100105,REQ_2048,Employee Referral,Offer Issued,2025-02-03 00:00:00,REC_100
21dc80ef,CAND_100106,REQ_2009,Tesla Careers Site,Applied,2025-04-24 00:00:00,REC_104
be93e871,CAND_100106,REQ_2009,Tesla Careers Site,Phone Screen,2025-05-02 00:00:00,REC_104
8aa9257d,CAND_100107,REQ_2038,LinkedIn,Applied,2025-02-12 00:00:00,REC_100
18bb69f1,CAND_100107,REQ_2038,LinkedIn,Phone Screen,2025-02-17 00:00:00,REC_100
80bded29,CAND_100107,REQ_2038,LinkedIn,Technical Interview,2025-02-25 00:00:00,REC_100
3d653b5a,CAND_100108,REQ_2029,LinkedIn,Applied,2025-06-08 00:00:00,REC_103
1fb7f1fe,CAND_100109,REQ_2013,X (Twitter) Sourcing,Applied,2025-05-26 00:00:00,REC_103
d5815bbf,CAND_100110,REQ_2042,University Recruiting,Applied,2025-03-04 00:00:00,REC_104
00112f48,CAND_100111,REQ_2021,University Recruiting,Applied,2025-06-18 00:00:00,REC_103
78ff3f80,CAND_100111,REQ_2021,University Recruiting,Phone Screen,2025-06-28 00:00:00,REC_103
431aca7e,CAND_100112,REQ_2023,LinkedIn,Applied,2025-07-14 00:00:00,REC_103
81bfd109,CAND_100113,REQ_2026,LinkedIn,Applied,2025-06-25 00:00:00,REC_103
ce9c338d,CAND_100113,REQ_2026,LinkedIn,Phone Screen,2025-07-06 00:00:00,REC_103
82fbf2aa,CAND_100114,REQ_2037,,Applied,2025-02-12 00:00:00,REC_102
b7fbcb89,CAND_100114,REQ_2037,,Phone Screen,2025-02-27 00:00:00,REC_102
9b7772a2,CAND_100114,REQ_2037,,Technical Interview,2025-03-03 00:00:00,REC_102
de8393db,CAND_100114,REQ_2037,,Offer Issued,2025-03-14 00:00:00,REC_102
74496948,CAND_100115,REQ_2032,Tesla Careers Site,Applied,2025-04-22 00:00:00,REC_100
3dba971f,CAND_100116,REQ_2005,Employee Referral,Applied,2025-07-07 00:00:00,REC_102
15845a08,CAND_100116,REQ_2005,Employee Referral,Phone Screen,2025-07-09 00:00:00,REC_102
aca941ca,CAND_100116,REQ_2005,Employee Referral,Technical Interview,2025-07-13 00:00:00,REC_102
7a14cc01,CAND_100117,REQ_2036,LinkedIn,Applied,2025-03-19 00:00:00,REC_104
337c292b,CAND_100117,REQ_2036,LinkedIn,Phone Screen,2025-03-27 00:00:00,REC_104
392c39dd,CAND_100118,REQ_2032,LinkedIn,Applied,2025-04-28 00:00:00,REC_104
d1c13dac,CAND_100118,REQ_2032,LinkedIn,Phone Screen,2025-05-10 00:00:00,REC_104
290fa21d,CAND_100119,REQ_2023,LinkedIn,Applied,2025-07-09 00:00:00,REC_101
c4c98a4a,CAND_100120,REQ_2017,LinkedIn,Applied,2025-02-22 00:00:00,REC_102
4937a6c7,CAND_100120,REQ_2017,LinkedIn,Phone Screen,2025-03-04 00:00:00,REC_102
b5a98df9,CAND_100120,REQ_2017,LinkedIn,Technical Interview,2025-03-17 00:00:00,REC_102
3bb0129e,CAND_100121,REQ_2029,LinkedIn,Applied,2025-06-05 00:00:00,REC_104
aabab847,CAND_100122,REQ_2041,LinkedIn,Applied,2025-03-07 00:00:00,REC_100
d8f83707,CAND_100123,REQ_2015,LinkedIn,Applied,2025-01-26 00:00:00,REC_100
a8918dee,CAND_100123,REQ_2015,LinkedIn,Phone Screen,2025-01-29 00:00:00,REC_100
6f71a709,CAND_100124,REQ_2002,Employee Referral,Applied,2025-01-31 00:00:00,REC_100
7d3861ac,CAND_100125,REQ_2000,LinkedIn,Applied,2025-06-29 00:00:00,REC_102
fd7201b7,CAND_100125,REQ_2000,LinkedIn,Phone Screen,2025-07-06 00:00:00,REC_102
2683c555,CAND_100126,REQ_2021,LinkedIn,Applied,2025-06-20 00:00:00,REC_101
e6b092c4,CAND_100127,REQ_2028,Tesla Careers Site,Applied,2025-02-15 00:00:00,REC_101
72ffe482,CAND_100127,REQ_2028,Tesla Careers Site,Phone Screen,2025-02-27 00:00:00,REC_101
5cf17c84,CAND_100127,REQ_2028,Tesla Careers Site,Technical Interview,2025-03-10 00:00:00,REC_101
7590ba76,CAND_100128,REQ_2009,Tesla Careers Site,Applied,2025-04-18 00:00:00,REC_104
9dbb208a,CAND_100129,REQ_2002,Tesla Careers Site,Applied,2025-01-13 00:00:00,REC_102
fbb9ac1c,CAND_100130,REQ_2014,LinkedIn,Applied,2025-06-24 00:00:00,REC_102
ba3b7ee4,CAND_100130,REQ_2014,LinkedIn,Phone Screen,2025-07-05 00:00:00,REC_102
9f5da493,CAND_100131,REQ_2006,Tesla Careers Site,Applied,2025-04-05 00:00:00,REC_100
9559d553,CAND_100132,REQ_2015,X (Twitter) Sourcing,Applied,2025-01-27 00:00:00,REC_103
e1e0e9a0,CAND_100132,REQ_2015,X (Twitter) Sourcing,Phone Screen,2025-01-31 00:00:00,REC_103
0395c79c,CAND_100132,REQ_2015,X (Twitter) Sourcing,Technical Interview,2025-02-02 00:00:00,REC_103
460c3fb0,CAND_100132,REQ_2015,X (Twitter) Sourcing,Offer Issued,2025-02-07 00:00:00,REC_103
98bff5d6,CAND_100132,REQ_2015,X (Twitter) Sourcing,Hired,2025-02-20 00:00:00,REC_103
